video_id,title,views,tags,channel_name,subscribers,search_query,thumbnail_url,duration_seconds,thumbnail_path,search_volume
Blwd09bKB0s,"[FREE] 2Hollis Type Beat  "" PLAYTIME  """,6882,2hollis type beat|free 2hollis type beat|2hollis type beat free|star boy type beat|sad 2hollis type beat|ericdoa type beat|hard type beat|2hollis dance type beat|star boy x 2hollis type beat|2hollis|midwxst type beat|pop type beat|type beat|ecco2k type beat|hyperpop dance type beat|type beat free|club type beat|bladee type beat|god type beat|hard dance type beat|2hollis safety|nate sib type beat|joalisho|star boy 2hollis type beat|trauma type beat,Charger_X_Beats,181,2hollis type beat,https://i.ytimg.com/vi/Blwd09bKB0s/maxresdefault.jpg,98,thumbnails\Blwd09bKB0s.jpg,11237409.0
mR0cWFeZP0Y,"2hollis x nate sib type beat ""intelligence""",6836,star boy type beat|2hollis type beat|star boy x 2hollis type beat|free star boy type beat|free 2hollis type beat|5ivestarz type beat|free 5ivestarz type beat|gab3 type beat|free gab3 type beat|ken carson star boy type beat|free ken carson type beat|ceo type beat|star boy x ceo type beat|nate sib type beat|2hollis nate sib type beat|2hollis crush type beat|hard dance type beat|2hollis x hard dance type beat|2hollis x boy type beat|lazylabor,lazylabor,520,nate sib type beat,https://i.ytimg.com/vi/mR0cWFeZP0Y/maxresdefault.jpg,110,thumbnails\mR0cWFeZP0Y.jpg,261955.0
xC6cEc6Q4a8,"[FREE FOR PROFIT] 2hollis Type Beat - ""parasite""",6794,glaive type beat|ericdoa type beat|brakence type beat|midwxst type beat|aldn type beat|hyperpop type beat|hyperpop beat|hyper pop type beat|free glaive type beat|hyperpop type beat free for profit|pop type beat|hyperpop type beat 2025|siem spark|pop type beat 2025|dance type beat|electro pop type beat|2hollis type beat|2hollis type beat free for profit|nate sib type beat|type beat|type beat free for profit|type beat 2025|2hollis lie type beat,siem spark,28200,2hollis type beat,https://i.ytimg.com/vi/xC6cEc6Q4a8/maxresdefault.jpg,130,thumbnails\xC6cEc6Q4a8.jpg,11237409.0
O7X44H-OzE0,[FREE] fakemink + crystal castles + 2hollis type beat (prod. @tiresss x @1glem),6779,2hollis type beat|crystal castles type beat|synth pop type beat|charli xcx type beat|hyperpop type beat|crystal castles|techno type beat|free 2hollis type beat|2hollis type beat free|starboy|starboy type beat|witch house type beat|star boy type beat|pop type beat|pastel ghost|mareux type beat|synth pop|darkwave|erlax type beat|type beat|crystal castles type beat free|free for profit|fakemink type beat|fakemink|fakemink easter pink,glem,1470,2hollis type beat,https://i.ytimg.com/vi/O7X44H-OzE0/maxresdefault.jpg,107,thumbnails\O7X44H-OzE0.jpg,11237409.0
O7X44H-OzE0,[FREE] fakemink + crystal castles + 2hollis type beat (prod. @tiresss x @1glem),6779,2hollis type beat|crystal castles type beat|synth pop type beat|charli xcx type beat|hyperpop type beat|crystal castles|techno type beat|free 2hollis type beat|2hollis type beat free|starboy|starboy type beat|witch house type beat|star boy type beat|pop type beat|pastel ghost|mareux type beat|synth pop|darkwave|erlax type beat|type beat|crystal castles type beat free|free for profit|fakemink type beat|fakemink|fakemink easter pink,glem,1470,2hollis type beat,https://i.ytimg.com/vi/O7X44H-OzE0/maxresdefault.jpg,107,thumbnails\O7X44H-OzE0.jpg,11237409.0
HNxPV2iGmv4,"[FREE] 2hollis Type Beat - ""Big Name""",6725,2hollis type beat|free 2hollis type beat|2hollis type beat free|2hollis type beat jeans|2hollis jeans type beat|2hollis trauma type beat|2hollis type beat trauma|2hollis ken carson type beat|pop type beat|glaive type beat|2hollis x hard dance type beat|aldn type beat|midwxst type beat|rouri404 type beat|kennyhoopla type beat|2hollis type beat free for profit|poorstacy type beat|ericdoa type beat|starboy type beat|underscores type beat,Fukk2Beatz II,14700,2hollis type beat,https://i.ytimg.com/vi/HNxPV2iGmv4/maxresdefault.jpg,105,thumbnails\HNxPV2iGmv4.jpg,11237409.0
uK9iX3TKNdU,"[FREE] Emo trap x hyperpop type beat - ""Slime""",6699,Trap|free beat|free non profit|hyperpop|808 bass|digicore|Drill|electronica|hip hop|Free beats,SMKs,369,hyperpop type beat,https://i.ytimg.com/vi/uK9iX3TKNdU/maxresdefault.jpg,92,thumbnails\uK9iX3TKNdU.jpg,0.0
PJoFB8sRQeA,"[FREE FOR PROFIT] Nate Sib x 2hollis Type Beat - ""carbon""",6674,glaive type beat|ericdoa type beat|brakence type beat|midwxst type beat|aldn type beat|hyperpop type beat|hyperpop beat|hyper pop type beat|hyperpop type beat free for profit|pop type beat|hyperpop type beat 2025|siem spark|pop type beat 2025|dance type beat|electro pop type beat|free for profit|2hollis type beat|2hollis type beat free for profit|nate sib type beat|type beat|type beat free for profit|type beat 2025|nate sib type beat free for profit,siem spark,28200,2hollis type beat,https://i.ytimg.com/vi/PJoFB8sRQeA/maxresdefault.jpg,166,thumbnails\PJoFB8sRQeA.jpg,11237409.0
3iTFak32rQA,"[FREE] 2hollis Type Beat x Hyperpop x Snow Strippers - ""INLAND EMPIRE"" (p. sheepy)",6542,2hollis type beat|hyperpop type beat|snow strippers|2hollis hyperpop type beat|hyperpop|snow strippers beat|2hollis|hyperpop music|2hollis beat|hyperpop instrumental|snow strippers music|2hollis type beat 2025|hyperpop beats|snow strippers type beat|2025 hyperpop|2hollis style|hyperpop vibes|2hollis producer|hyperpop genre|snow strippers instrumental|2hollis sample|hyperpop production|snow strippers remix|2hollis music|hyperpop songs|sheepy,sheepy,38400,2hollis type beat,https://i.ytimg.com/vi/3iTFak32rQA/maxresdefault.jpg,107,thumbnails\3iTFak32rQA.jpg,11237409.0
dT-qq_YBvHY,"[FREE FOR PROFIT] 2hollis Type Beat - ""vertigo""",6480,glaive type beat|ericdoa type beat|brakence type beat|midwxst type beat|aldn type beat|hyperpop type beat|hyperpop beat|hyper pop type beat|free glaive type beat|hyperpop type beat free for profit|hyperpop type beat 2025|siem spark|free for profit|2hollis type beat|2hollis type beat free for profit|nate sib type beat|type beat|type beat free for profit|type beat 2025|ken carson type beat|2hollis type beat hard|ken carson type beat free for profit,siem spark,28200,2hollis type beat,https://i.ytimg.com/vi/dT-qq_YBvHY/maxresdefault.jpg,116,thumbnails\dT-qq_YBvHY.jpg,11237409.0
